contact_id,civilite,nom,prenom,fonction,email,telephone,id_client
8db57eab-619a-45c7-9902-988326425813,Mme,Sanchez,Hugues,CFO,slebreton@klein.com,+33 6 44 71 34 93,55307f89-e239-4d0c-a509-ef46ddd2d151
f6e9dc15-ff8e-4396-b0fa-0160a5889c33,M.,Lamy,Gabriel,Directeur juridique,reneblanchard@lopez.org,0271746488,55307f89-e239-4d0c-a509-ef46ddd2d151
a834d4d8-c13e-4ea7-9c6f-b7441dacd11c,Mme,Teixeira,Brigitte,CFO,lesagenathalie@texier.org,+33 (0)1 13 99 04 90,55307f89-e239-4d0c-a509-ef46ddd2d151
6032babe-c843-4dfd-a78b-41fe73334b85,Mme,Ledoux,Olivie,Directeur juridique,ppaul@lopes.com,03 71 75 65 51,8b133102-74bc-4e8c-a0b8-f10b59830f4d
f4106d77-0af4-4019-983c-0cbba8623a07,Mme,Renard,Vincent,Directeur juridique,qherve@ifrance.com,+33 (0)2 71 54 51 68,8b133102-74bc-4e8c-a0b8-f10b59830f4d
7816a8a2-5a71-4a4e-8dd1-b316b5aa0489,M.,Martin,Margaux,Directeur juridique,mvincent@wanadoo.fr,0809770348,d32b5392-8812-4c63-b32f-e566402deb53
403116ef-f77f-493d-8320-185f2da782e5,Mme,Payet,Sébastien,CEO,briviere@orange.fr,+33 2 48 08 61 31,74663b01-70ae-4d7c-ba9d-1e1dc1e591c9
58a380ba-b3c6-4ceb-ad5e-d3db75976aca,M.,Pinto,Georges,CEO,sauger@legros.fr,06 37 82 63 98,74663b01-70ae-4d7c-ba9d-1e1dc1e591c9
0c2c954e-e25d-4465-b556-d673150a67ba,M.,Letellier,Grégoire,Responsable RH,penelope65@bernard.org,0399727875,74663b01-70ae-4d7c-ba9d-1e1dc1e591c9
eb1e32b4-1bad-40c6-9b32-7c8915794653,Mme,Le Roux,Françoise,CFO,mlebrun@orange.fr,01 36 05 76 62,f06ddb4c-f082-4378-b587-cc1a72caab66
b55a426b-33ef-48e7-904b-f211fb7918e1,M.,Costa,Auguste,Responsable RH,eugene71@garcia.com,02 21 74 59 61,d1419330-5137-4a0c-87ff-52b230421701
e4e77457-da6e-4a35-bb15-4dc10338678a,M.,Boulanger,Dominique,Directeur juridique,lorraine78@gmail.com,+33 (0)4 34 31 61 17,d1419330-5137-4a0c-87ff-52b230421701
