temps_id,id_dossier,id_avocat,nom_avocat,date_prestation,description,heures,taux_horaire,facture_id
ee8b0d0c-cef4-468f-aff9-3f840e8cc8e3,8d0dbdd2-2104-4733-8d39-000e977627c3,2cb6b053-969a-40a2-a054-223a2f3f11e1,Alexandre Morin,2024-11-08,Marquer chien bande avenir titre vieux chose envelopper ni recueillir.,1.5,300,
fe2f6959-5825-4c46-bd2b-bf05a5611cb3,386ce6ce-08a5-4bdc-b65a-c72d823e1870,0ee105d0-7745-4c96-bbf0-3df65bd210ab,Marcel Leblanc,2024-07-23,Précéder prouver sentir assister bas habiter idée.,1.5,250,04d765c1-9d6b-46c2-a5b1-60949842d06c
92bce6b7-e7e0-49e8-8172-7261b4f618d5,de856a6f-54a3-4733-9048-d8edc3c8939a,52fc2f51-6484-441d-a3ac-19515cc8485f,Yves Traore,2025-07-12,En que quatre carte présent.,1.5,250,
0643c734-2a0e-42c6-9ca7-74920c0217dc,bdbf9d61-f0d3-4b6f-8120-fe05a48d84c3,57bf8456-f58d-41c6-afc3-2e24e3b187b4,Gabriel de Guilbert,2025-07-13,Coin un maintenant repas.,1.0,220,a899b2bf-6d13-45c5-9b06-57a4ad15546b
6a527e2d-e45e-4d01-a794-2662c37bcc3e,e5e5ae54-64f3-4a99-81d8-679c58d59672,0ee105d0-7745-4c96-bbf0-3df65bd210ab,Marcel Leblanc,2024-11-20,Combien cent renverser distinguer soutenir rejoindre amener.,1.0,180,
bef047bb-a410-436b-84de-d4d298aee571,f0719de2-682b-43fa-921e-2a98a54da4f6,52fc2f51-6484-441d-a3ac-19515cc8485f,Yves Traore,2024-09-25,Maintenir direction vieux pareil lentement long aspect.,0.5,300,
80a80cbb-14a6-41d1-8878-b50fb7b511fa,fa87aa0d-a900-46bf-8e1b-056cd4c896ce,99f39dfa-f1e2-4ec1-be06-d65859789f1f,Alexandre Traore,2025-06-18,Combat ci religion sujet pleurer camarade que abri silence acte.,1.0,300,fa161c15-1e0f-44d2-9fd1-ac151e7898c5
740c1fd3-2dc0-447d-a011-b5d29b95265c,de856a6f-54a3-4733-9048-d8edc3c8939a,2cb6b053-969a-40a2-a054-223a2f3f11e1,Alexandre Morin,2025-05-18,Facile tirer conclure veiller animal revenir prévenir permettre de.,2.0,180,7b41af85-24b8-41b0-9cc9-daca834ad324
2550c38e-7b37-4d3c-a0cb-b7c0277b56b5,2894aa01-a22f-4204-afd5-5ab69df9ca1a,99f39dfa-f1e2-4ec1-be06-d65859789f1f,Alexandre Traore,2025-01-25,Terminer ensemble saluer mort carte plein arriver davantage lumière.,0.25,300,
4eed63bb-87b6-4462-a2f1-482e084f25cc,f50bd7ff-92c5-475c-beb3-43a17eeeb377,0ee105d0-7745-4c96-bbf0-3df65bd210ab,Marcel Leblanc,2022-02-22,Aussitôt inquiétude dresser sentier envie mettre accord coup.,1.0,180,
69822362-6ce5-41ba-be1f-f23ac8c187e8,9f1536ed-7682-4baf-b712-a636e5d0bef7,57bf8456-f58d-41c6-afc3-2e24e3b187b4,Gabriel de Guilbert,2025-06-17,Quartier depuis fait vide vraiment remonter puis.,2.0,220,c69f58a7-bfcf-4d2b-83e8-2ff6cbcc1e59
7432dfb6-dbf7-4426-8a9c-a4f7805ec4ae,a76e2480-dc6b-4d7a-89cf-cbc9848c15d2,52fc2f51-6484-441d-a3ac-19515cc8485f,Yves Traore,2024-05-12,Cheval toute aimer me partir pourquoi accuser.,1.5,250,
c95dfd54-4451-4b72-8336-743d735428e0,8cf0b6c8-f1da-4f40-a76c-dc08ce92da3b,fba0cbe6-1a09-4487-946b-d85567269b04,Laurence Robert,2025-07-07,Réalité ferme quarante emporter.,2.0,220,
5f1a627b-0c33-4122-adb6-6aef7b0428cd,c2b04ca8-21a2-4b09-846e-846f4ea91d9a,0ee105d0-7745-4c96-bbf0-3df65bd210ab,Marcel Leblanc,2023-09-16,Vite gens vendre vie chaque doux approcher dégager sentiment gagner.,1.5,250,e82d1b60-1b45-444b-973c-c536c9d019c2
965e1cc8-0006-4fb5-996a-12283b8a4acc,f7bf44a5-d389-47da-97b5-2092817aed72,0ee105d0-7745-4c96-bbf0-3df65bd210ab,Marcel Leblanc,2025-07-20,Importance quitter naturel lire parvenir fonder non attirer.,2.0,220,
74736b9e-4d20-4ec7-a82d-4f162fd322fa,7025280f-b901-4743-942f-5188308aa0f6,52fc2f51-6484-441d-a3ac-19515cc8485f,Yves Traore,2025-05-30,Demander digne enfin réussir précis pur.,1.0,300,7d901a73-1923-462b-bed2-e0f82ad55bba
691ae53c-cc57-46ca-92a4-d5700734a655,fe95d0e9-85f2-43a8-a6c2-871cc63f19f7,fba0cbe6-1a09-4487-946b-d85567269b04,Laurence Robert,2023-08-26,Dominer avance courage renoncer neuf chose colère installer frère.,0.25,300,
3af436f4-eda7-46c9-b89b-d5ef01ea8b13,3ba4c7d7-5a41-486e-8bef-3fe7e7c59a05,52fc2f51-6484-441d-a3ac-19515cc8485f,Yves Traore,2025-05-27,Humide indiquer seulement beaucoup rien emmener.,2.0,300,
fa43435a-eba0-4e01-b192-23a33bd9f4f5,50c42b4c-6d85-4a6e-9d89-69c434cdb044,0ee105d0-7745-4c96-bbf0-3df65bd210ab,Marcel Leblanc,2024-06-30,Second environ beauté désigner exécuter loup.,1.5,250,
d0c70511-f2ad-4b51-9d6d-b548f7dd7569,a7ff57e5-b6d5-45e4-94c5-9665832397ae,2cb6b053-969a-40a2-a054-223a2f3f11e1,Alexandre Morin,2025-05-08,Difficile voix amuser franchir ici quitter désormais.,0.25,220,
39b0d814-cc4e-41d5-b091-f639ef8f5bc4,5d10b768-3b3d-47f2-8d04-d2094e3781b7,4d1333a4-d0c7-4c36-9580-2a400135c126,Victor du Vasseur,2023-08-28,Rêver changement acte sauvage visite.,1.0,180,
1c6c960d-b41d-440a-9d5e-7e4e4e53cecb,f7bf44a5-d389-47da-97b5-2092817aed72,a9f97ea4-2b30-4b38-a641-ccf0a35c99c1,Gérard-Frédéric Joly,2022-04-19,Saisir fauteuil parler pauvre ne dieu.,1.5,180,4fc0159b-178f-4eab-935a-9ec6252d2e66
a05f3d6b-1a75-46d0-8595-9748f2d68012,386ce6ce-08a5-4bdc-b65a-c72d823e1870,4d1333a4-d0c7-4c36-9580-2a400135c126,Victor du Vasseur,2024-07-30,Vrai couche pays risquer.,1.0,300,
32852e17-c239-41d0-9d6e-6812a5bbc951,3a2c9f07-e085-4ce2-9a4c-4f7c1781d67e,4d1333a4-d0c7-4c36-9580-2a400135c126,Victor du Vasseur,2024-12-25,Ce trente arrêter tomber habiller projet lentement fil.,0.25,220,
5377755a-ca80-408a-9e5d-a027a6fc6d6a,564ff187-0755-430b-9b56-2d65fcad98ae,a9f97ea4-2b30-4b38-a641-ccf0a35c99c1,Gérard-Frédéric Joly,2024-10-03,Événement te dos homme chemise oreille.,0.5,300,
26441b58-8bd1-47e8-b421-ab8aba902f18,99f0fbb9-d8d9-4ef2-b8be-ddab91aa33d8,99f39dfa-f1e2-4ec1-be06-d65859789f1f,Alexandre Traore,2024-10-09,Paysan leur source jeter battre fil genre.,0.25,250,
c15b431e-23de-4c4a-bf14-4fb13d6269fd,4290fff6-a80e-431c-a88b-db8efa0ce72f,4d1333a4-d0c7-4c36-9580-2a400135c126,Victor du Vasseur,2024-09-24,Désirer vouloir mêler agiter fil preuve jeu renverser éteindre moitié.,2.0,300,
cbacd0d7-ecab-4481-9f8f-271646c7ea3a,fa87aa0d-a900-46bf-8e1b-056cd4c896ce,fba0cbe6-1a09-4487-946b-d85567269b04,Laurence Robert,2023-03-06,Docteur aller nouveau amener roche douze rire intérieur.,1.0,220,fa161c15-1e0f-44d2-9fd1-ac151e7898c5
99aa230f-47f6-4986-84c5-dcd11676261e,b2bd2fa7-4177-4eef-801d-e4636cbfd6cb,4d1333a4-d0c7-4c36-9580-2a400135c126,Victor du Vasseur,2024-12-28,Yeux vieillard bois personne disparaître rose terreur aspect voyager danger.,2.0,180,5894e843-3095-4aff-af19-80c6a7b3cfc9
acafef18-e0b0-4553-bbfd-a3ff31bd4962,328f9a65-b3c0-4835-97a1-c04618ea6bfa,495caabb-57b9-4f6c-a1a0-256d5fc15acf,Denis-Franck Ledoux,2023-11-03,Traîner vol compagnie demande ennemi quarante exister nommer.,0.25,300,
d261dc06-0fde-4cc0-bca1-3127cbda2a6f,9b234da1-15af-44d8-bd79-fbaf80a78dfb,d0be7ecc-0745-4454-a3cc-2d2868b6b3d8,Aurore Maury-Briand,2025-03-09,Moindre moindre consulter voir soulever large en justice beau dehors.,0.25,300,
40559216-9d02-4ac3-a1af-afa86abde1c7,0d2db5a4-367a-4f1c-a4e0-acde143d5957,d0be7ecc-0745-4454-a3cc-2d2868b6b3d8,Aurore Maury-Briand,2023-12-27,Mal à terreur couper.,0.25,220,
756c18b9-ff47-47b8-871d-c60dea773014,4a35432a-d5f4-4f25-aed1-c11a4d72b6d6,d0be7ecc-0745-4454-a3cc-2d2868b6b3d8,Aurore Maury-Briand,2023-09-21,Principe tête sens entre aile ni terre remercier.,2.0,250,
d50bb8f2-ebbe-4c79-be76-40a01029a99b,2466c1bb-7f5c-4236-961f-ecec05719d7a,d0be7ecc-0745-4454-a3cc-2d2868b6b3d8,Aurore Maury-Briand,2025-06-30,Simplement veiller faveur trente forcer bon elle chaise ciel troubler.,1.0,220,
6d2dcd8c-4582-4ebd-8741-d44cbbaf0d32,4c479ea5-5830-43b3-a98a-022c2eba90c1,d0be7ecc-0745-4454-a3cc-2d2868b6b3d8,Aurore Maury-Briand,2025-05-21,Compagnon vêtement pourquoi tour reprendre davantage nom complètement.,1.5,250,f1870ec8-12d1-4a15-8850-3fb29fbe5cec
1de11944-413e-4d45-b5db-a55560334195,e5e5ae54-64f3-4a99-81d8-679c58d59672,0ee105d0-7745-4c96-bbf0-3df65bd210ab,Marcel Leblanc,2023-02-16,Centre propre trouver troubler fois vouloir verre.,1.5,180,
5fb68449-b300-4f8b-82f5-629ec07f5a54,5ef07712-af0d-4cb3-b1e8-dea4a4580a29,0ee105d0-7745-4c96-bbf0-3df65bd210ab,Marcel Leblanc,2023-03-24,Observer titre verser dans moitié traiter.,1.0,300,
